Region_CN	Region_EN	T20191231	T20200111	T20200112	T20200113	T20200114	T20200115	T20200116	T20200117	T20200118	T20200119	T20200120	T20200121	T20200122	T20200123	T20200124	T20200125	T20200126	T20200127	T20200128	T20200129	T20200130	T20200131	T20200201	T20200202	T20200203	T20200204	T20200205	T20200206	T20200207	T20200208	T20200209	T20200210	T20200211	T20200212	T20200213	T20200214	T20200215	T20200216	T20200217	T20200218	T20200219	T20200220	T20200221	T20200222	T20200223	T20200224	T20200225	T20200226	T20200227	T20200228	T20200229	T20200301	T20200302
安徽省	Anhui	0	0	0	0	0	0	0	0	0	0	0	0	9	15	39	60	70	106	152	200	237	297	340	408	480	530	591	665	733	779	830	860	889	910	934	950	962	973	982	986	987	988	989	989	989	989	989	989	990	990	990	990	990
澳门特别行政区	Macao	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	5	7	7	7	7	7	7	8	8	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
北京市	Beijing	0	0	0	0	0	0	0	0	0	0	5	10	14	26	36	51	68	80	91	111	132	156	183	215	231	256	277	300	318	329	340	345	358	369	378	384	383	384	390	396	398	399	402	402	402	403	403	413	413	414	416	417	417
福建省	Fujian	0	0	0	0	0	0	0	0	0	0	0	0	4	9	18	29	56	73	82	101	120	144	159	179	194	205	215	224	239	250	261	267	272	279	281	285	287	290	292	293	293	293	293	293	293	294	294	296	296	296	296	296	296
甘肃省	Gansu	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	7	14	19	24	26	30	35	40	51	55	57	62	67	71	79	83	86	86	87	90	90	90	90	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91
广东省	Guangdong	0	0	0	0	0	0	0	0	0	1	14	26	32	53	78	98	146	188	241	311	393	520	604	683	797	870	944	1018	1075	1120	1151	1177	1219	1241	1261	1294	1316	1322	1328	1331	1332	1333	1339	1342	1345	1347	1347	1347	1348	1349	1349	1350	1350
广西壮族自治区	Guangxi	0	0	0	0	0	0	0	0	0	0	0	0	5	13	23	33	46	51	58	78	87	100	111	127	139	150	168	172	183	195	210	215	222	222	226	235	237	238	242	244	245	246	249	249	251	252	252	252	252	252	252	252	252
贵州省	Guizhou	0	0	0	0	0	0	0	0	0	0	0	0	3	3	4	5	7	9	9	12	15	29	38	46	56	64	69	77	89	96	109	118	131	135	140	143	144	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146
海南省	Hainan	0	0	0	0	0	0	0	0	0	0	0	0	4	8	17	22	31	40	45	48	51	59	65	72	81	92	103	114	0	131	139	145	148	160	160	165	165	165	166	166	171	171	171	171	171	171	171	171	171	171	171	171	171
河北省	Hebei	0	0	0	0	0	0	0	0	0	0	0	0	1	2	8	13	18	33	48	65	82	96	104	113	126	135	157	171	195	206	218	239	251	265	283	291	300	301	302	306	307	308	309	311	311	311	312	317	318	318	318	318	318
