Region_CN	Region_EN	T20191231	T20200111	T20200112	T20200113	T20200114	T20200115	T20200116	T20200117	T20200118	T20200119	T20200120	T20200121	T20200122	T20200123	T20200124	T20200125	T20200126	T20200127	T20200128	T20200129	T20200130	T20200131	T20200201	T20200202	T20200203	T20200204	T20200205	T20200206	T20200207	T20200208	T20200209	T20200210	T20200211	T20200212	T20200213	T20200214	T20200215	T20200216	T20200217	T20200218	T20200219	T20200220	T20200221	T20200222
安徽省	Anhui	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3	5	7	14	20	23	34	47	59	73	88	108	128	166	198	232	266	293	361	424	500	567	620
澳门特别行政区	Macao	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	3	3	3	5	5	5	6	6	6	6
北京市	Beijing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	4	4	5	5	9	12	23	24	31	33	34	37	44	48	56	68	79	97	105	114	122	145	153	169	178	189
福建省	Fujian	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	11	15	20	24	35	39	46	54	59	66	77	84	91	96	112	134	150	165
甘肃省	Gansu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	4	6	9	9	12	16	21	24	31	39	44	49	54	58	62	65	71	76	76
广东省	Guangdong	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	4	5	6	9	9	12	14	20	32	49	68	97	125	143	181	241	284	332	386	436	473	530	571	619	664	720	740
广西壮族自治区	Guangxi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	7	10	14	17	17	18	18	30	31	33	35	40	46	51	58	76	87	95	99	104
贵州省	Guizhou	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	2	5	6	6	6	7	7	10	17	20	28	33	37	47	66	69	71	76	90	91
海南省	Hainan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	4	4	5	6	9	125	16	20	20	21	28	31	39	40	53	60	80	85	90	97	105
河北省	Hebei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	4	7	16	25	30	35	41	48	54	69	86	100	109	123	136	152	170	184	204
河南省	Henan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	3	4	14	20	41	54	68	97	131	169	198	231	258	313	358	400	441	508	555	617	720	805	864
黑龙江省	Heilongjiang	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	4	7	8	12	13	15	27	28	31	37	48	70	80	85	108	123	141	183	215
湖北省	Hubei	0	6	7	7	7	12	15	19	24	25	25	25	28	31	32	42	44	47	80	90	116	166	215	295	396	520	633	817	1115	1439	1795	2222	2639	3441	3862	4774	5623	6639	7862	9128	10337	11788	13552	15294
湖南省	Hunan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	8	16	22	35	56	91	119	159	186	213	263	312	352	389	430	467	501	542	578	638	670	705
吉林省	Jilin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	4	4	5	12	13	18	22	25	25	28	30	34	36	40	44	46	52
江苏省	Jiangsu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	5	6	7	8	13	26	38	43	51	72	84	94	131	137	160	190	226	263	296	325	352	387	411
江西省	Jiangxi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3	7	9	10	18	19	27	37	45	55	72	102	127	152	170	187	210	239	275	310	362	432	489	544	611
辽宁省	Liaoning	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	4	5	7	8	12	12	19	20	22	29	32	41	43	55	58	61	66	68
内蒙古自治区	Inner Mongoria IM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	4	4	5	5	5	5	5	6	6	6	7	8	8	9	11	16	22	26
宁夏回族自治区	Ningxia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	3	13	13	14	22	24	24	27	33	33	35	42	42	44	48	48
青海省	Qinghai	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	3	5	9	11	11	13	13	13	15	16	16	18	18
山东省	Shandong	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	5	6	7	13	18	31	38	50	63	71	80	98	111	139	164	175	193	215	238	270	293	311
山西省	Shanxi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2	2	4	6	12	15	21	25	26	30	33	36	38	46	50	53	61	68	76	78	81
陕西省	Shaanxi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	6	11	17	20	26	31	36	42	49	53	64	74	79	89	105	117	140	153
上海市	Shanghai	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	3	4	5	5	9	10	10	10	12	15	25	30	41	44	48	53	57	62	90	124	140	161	177	186	199	211	227
四川省	Sichuan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	3	12	14	23	27	37	50	60	76	82	85	93	105	115	127	136	163	177	198	222	242	256
台湾省	Taiwan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2
天津市	Tianjing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	2	2	4	4	8	10	11	21	32	37	45	46	48	54	59	62	65
西藏自治区	Tibet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1
香港特别行政区	Hongkong 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	4	5	5	6	11
新疆维吾尔自治区	Xinjiang	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	6	6	11	12	12	14	20	22	24	25
